Seq_No,Grade,School_Type
00001,PreK,Pre-Kindegarten
00002,K,Elementary School
00003,1,Elementary School
00004,2,Elementary School
00005,3,Elementary School
00006,4,Elementary School
00007,5,Elementary School
00008,6,Middle School
00009,7,Middle School
00010,8,Middle School
00011,9,High School
00012,10,High School
00013,11,High School
00014,12,High School
